634431.451816, z1
1.000000, x0j205
1.000000, x2j1836
0.000000, x2j2116
1.000000, x1j493
1.000000, x4j1053
1.000000, x5j2103
1.000000, x3j1536
1.000000, u0
1.000000, u2
1.000000, u4
1.000000, u6
1.000000, u7
1.000000, u8
1.000000, u9
1.000000, u10
1.000000, u11
1.000000, u12
1.000000, u13
1.000000, u14
1.000000, u16
1.000000, u17
1.000000, u18
1.000000, u19
1.000000, u20
1.000000, u21
1.000000, u23
1.000000, u27
1.000000, u28
1.000000, u29
1.000000, u30
1.000000, u31
1.000000, u32
1.000000, u33
1.000000, u34
1.000000, u35
1.000000, u36
1.000000, u37
1.000000, u38
1.000000, u39
1.000000, u40
1.000000, u41
1.000000, u42
1.000000, u48
1.000000, u49
1.000000, u50
1.000000, u51
1.000000, u52
1.000000, u53
1.000000, u54
1.000000, u55
1.000000, u56
1.000000, u57
1.000000, u58
1.000000, u59
1.000000, u60
1.000000, u61
1.000000, u62
1.000000, u67
1.000000, u69
1.000000, u70
1.000000, u71
1.000000, u72
1.000000, u73
1.000000, u75
1.000000, u76
1.000000, u77
1.000000, u78
1.000000, u79
1.000000, u80
1.000000, u81
1.000000, u82
1.000000, u83
1.000000, u84
1.000000, u88
1.000000, u90
1.000000, u91
1.000000, u92
1.000000, u93
1.000000, u94
1.000000, u95
1.000000, u96
1.000000, u97
1.000000, u98
1.000000, u99
1.000000, u100
1.000000, u101
1.000000, u102
1.000000, u103
1.000000, u104
1.000000, u105
1.000000, u109
1.000000, u110
1.000000, u111
1.000000, u112
1.000000, u113
1.000000, u114
1.000000, u115
1.000000, u116
1.000000, u118
1.000000, u119
1.000000, u120
1.000000, u121
1.000000, u122
1.000000, u123
1.000000, u124
1.000000, u125
1.000000, u128
1.000000, u130
1.000000, u132
1.000000, u133
1.000000, u134
1.000000, u135
1.000000, u136
1.000000, u137
1.000000, u138
1.000000, u139
1.000000, u140
1.000000, u141
1.000000, u142
1.000000, u143
1.000000, u144
1.000000, u146
1.000000, u147
1.000000, u153
1.000000, u154
1.000000, u155
1.000000, u156
1.000000, u157
1.000000, u158
1.000000, u159
1.000000, u160
1.000000, u161
1.000000, u162
1.000000, u163
1.000000, u164
1.000000, u165
1.000000, u166
1.000000, u167
1.000000, u168
1.000000, u172
1.000000, u174
1.000000, u175
1.000000, u176
1.000000, u177
1.000000, u178
1.000000, u179
1.000000, u180
1.000000, u181
1.000000, u182
1.000000, u183
1.000000, u184
1.000000, u185
1.000000, u186
1.000000, u187
1.000000, u188
1.000000, u189
1.000000, u195
1.000000, u196
1.000000, u197
1.000000, u198
1.000000, u199
1.000000, u200
1.000000, u201
1.000000, u202
1.000000, u205
1.000000, u206
1.000000, u207
1.000000, u208
1.000000, u209
1.000000, u210
1.000000, u216
1.000000, u217
1.000000, u218
1.000000, u219
1.000000, u220
1.000000, u221
1.000000, u222
1.000000, u223
1.000000, u224
1.000000, u225
1.000000, u226
1.000000, u228
1.000000, u229
1.000000, u230
1.000000, u231
1.000000, u233
1.000000, u235
1.000000, u236
1.000000, u237
1.000000, u239
1.000000, u240
1.000000, u241
1.000000, u242
1.000000, u243
1.000000, u244
1.000000, u245
1.000000, u247
1.000000, u248
1.000000, u249
1.000000, u250
1.000000, u251
1.000000, u252
1.000000, u254
1.000000, u258
1.000000, u259
1.000000, u260
1.000000, u261
1.000000, u262
1.000000, u263
1.000000, u264
1.000000, u265
1.000000, u266
1.000000, u267
1.000000, u268
1.000000, u269
1.000000, u270
1.000000, u271
1.000000, u272
1.000000, u273
1.000000, u277
1.000000, u279
1.000000, u280
1.000000, u281
1.000000, u283
1.000000, u284
1.000000, u285
1.000000, u286
1.000000, u287
1.000000, u288
1.000000, u289
1.000000, u290
1.000000, u291
1.000000, u292
1.000000, u293
1.000000, u294
1.000000, u300
1.000000, u302
1.000000, u303
1.000000, u304
1.000000, u305
1.000000, u306
1.000000, u307
1.000000, u308
1.000000, u309
1.000000, u310
1.000000, u311
1.000000, u312
1.000000, u313
1.000000, u314
1.000000, u315
1.000000, u321
1.000000, u322
1.000000, u323
1.000000, u324
1.000000, u325
1.000000, u326
1.000000, u327
1.000000, u328
1.000000, u329
1.000000, u330
1.000000, u331
1.000000, u332
1.000000, u333
1.000000, u334
1.000000, u335
1.000000, u340
1.000000, u343
1.000000, u344
1.000000, u351
1.000000, u352
1.000000, u354
1.000000, u356
1.000000, u357
1.000000, u361
1.000000, u363
1.000000, u364
1.000000, u365
1.000000, u366
1.000000, u367
1.000000, u368
1.000000, u369
1.000000, u370
1.000000, u371
1.000000, u372
1.000000, u373
1.000000, u374
1.000000, u375
1.000000, u376
1.000000, u377
1.000000, u378
1.000000, u384
1.000000, u385
1.000000, u386
1.000000, u387
1.000000, u388
1.000000, u389
1.000000, u390
1.000000, u391
1.000000, u392
1.000000, u393
1.000000, u394
1.000000, u395
1.000000, u396
